City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
162,Xinzhi,CN,2020-07-12 21:16:18,36.5,111.7,68.7,71,62,2.57,broken clouds,0,0
163,Mangrol,IN,2020-07-12 21:16:18,21.12,70.12,83.08,81,67,15.35,light rain,0,0
164,Ferrol,ES,2020-07-12 21:12:33,43.48,-8.24,69.8,60,0,11.41,clear sky,0,0
165,East London,ZA,2020-07-12 21:16:18,-33.02,27.91,59.58,55,0,18.79,clear sky,0,0
166,Coahuayana,MX,2020-07-12 21:15:33,18.73,-103.68,82.4,74,75,9.17,broken clouds,0,0
167,Husavik,IS,2020-07-12 21:15:16,66.04,-17.34,53.6,87,90,5.82,light rain,0,0
168,Ahipara,NZ,2020-07-12 21:15:11,-35.17,173.17,57.76,87,24,6.82,light rain,0,0
169,Sampit,ID,2020-07-12 21:16:19,-2.53,112.95,72.73,98,100,2.44,overcast clouds,0,0
170,Tanete,ID,2020-07-12 21:16:19,-3.94,119.78,73.74,93,100,2.93,light rain,0,0
171,Vao,NC,2020-07-12 21:12:24,-22.67,167.48,71.67,80,67,20.24,broken clouds,0,0
172,Yarim,YE,2020-07-12 21:16:21,14.3,44.38,64.98,67,62,1.3,broken clouds,0,0
173,Kenai,US,2020-07-12 21:16:21,60.55,-151.26,55.4,93,90,6.93,overcast clouds,0,0
174,Cherskiy,RU,2020-07-12 21:16:21,68.75,161.3,52.54,93,100,3.27,overcast clouds,0,0
175,Dubti,ET,2020-07-12 21:16:21,11.74,41.09,95.86,24,44,2.55,scattered clouds,0,0
176,Vila Velha,BR,2020-07-12 21:16:22,-20.33,-40.29,75.99,73,38,12.75,scattered clouds,0,0
177,Healdsburg,US,2020-07-12 21:13:32,38.61,-122.87,100.0,24,1,11.41,clear sky,0,0
178,Siyabuswa,ZA,2020-07-12 21:16:22,-25.11,29.04,43.59,61,0,4.05,clear sky,0,0
179,Kulhudhuffushi,MV,2020-07-12 21:16:23,6.62,73.07,83.16,71,21,4.54,few clouds,0,0
180,Thunder Bay,CA,2020-07-12 21:14:51,48.4,-89.32,77.0,50,40,6.93,scattered clouds,0,0
181,Esperance,AU,2020-07-12 21:12:01,-33.87,121.9,50.0,57,0,20.8,clear sky,0,0
182,Constitucion,CL,2020-07-12 21:16:23,-35.33,-72.42,55.63,76,100,6.24,overcast clouds,0,0
183,Kidal,ML,2020-07-12 21:16:23,18.44,1.41,91.54,26,82,6.85,broken clouds,0,0
184,Darhan,MN,2020-07-12 21:16:24,49.49,105.92,59.34,84,31,1.39,scattered clouds,0,0
185,Ust-Kut,RU,2020-07-12 21:16:24,56.79,105.77,55.81,74,18,2.28,few clouds,0,0
186,Marsa Matruh,EG,2020-07-12 21:16:25,31.35,27.25,75.33,83,0,13.13,clear sky,0,0
187,Shimoda,JP,2020-07-12 21:16:25,34.67,138.95,63.0,95,100,11.16,overcast clouds,0,0
